pool_id,chain,symbol,earned_fees
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,1633.5969
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,451.7409
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,110.7230
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,1064.3838
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,57.9939
0x832f8e068e92d56b94205ea605e5cdaa7cded1f0,avalanche,tAVAX-waAvaSAVAX,75.8371
0xfcec3c8d86329defb548202fe1b86ff2188603a8,avalanche,Aave GHO/USDT/USDC,810.1041
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,119.2953
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,2517.2721
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,422.7398
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,14.6575
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,685.6599
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,499.7598
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,36.2653
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,36.3342
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,86.1316
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,140.1075
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,836.6176
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,2043.7299
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,71.6267
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,5719.8649
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,1157.3790
0xae255db04ba78519f33871c557d8fd6bafdb83bd,mainnet,xUSD-vgUSDC,5371.5272
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,2585.4791
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,992.3325
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,124.9261
