pool_id,chain,symbol,earned_fees
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,2400.5303
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,39.9602
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,190.2011
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,229.3343
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,2943.3431
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,81.3602
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,350.8978
0x22715161201922af61f4ca22e979ef0c6c20be13,avalanche,Surge eK3 savUSD-USDT,1013.0713
0x58374fff35d1f3023bbfc646fb9ecd2b180ca0b0,avalanche,Aave wAVAX/BTC.b,349.0608
0x695a7f28c3628187c8264d2cdf7a617036ba8406,avalanche,upAUSD-savUSD-sdeUSD,91.9274
0x832f8e068e92d56b94205ea605e5cdaa7cded1f0,avalanche,tAVAX-waAvaSAVAX,286.5983
0xfcec3c8d86329defb548202fe1b86ff2188603a8,avalanche,Aave GHO/USDT/USDC,329.4255
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,262.6858
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,4059.7954
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,1072.5092
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,57.2110
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,474.9793
0xe3a85e913f967406823cde9c390ae7bad9496367,base,ExtraFi-exUSDC-exUSR,142.8775
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,331.2455
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,1443.8256
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,1497.0445
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,287.7851
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,4479.0254
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,473.4941
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,14.5389
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,39.2654
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,2998.1973
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,2997.3230
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,497.2328
0x733f2d3f66d3f41bde65d95321a19a1e55bb5470,mainnet,iUSD-Aave GHO,42.6062
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,8017.0244
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,1875.5582
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,2958.1708
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,680.8790
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,178.6444
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,20.2594
