pool_id,chain,symbol,earned_fees
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,1675.2367
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,143.0445
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,205.9784
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,369.7726
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,99.5990
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,235.8452
0x22715161201922af61f4ca22e979ef0c6c20be13,avalanche,Surge eK3 savUSD-USDT,1218.7363
0x31ae873544658654ce767bde179fd1bbcb84850b,avalanche,Aave USDT/USDC/AUSD,1766.6435
0x58374fff35d1f3023bbfc646fb9ecd2b180ca0b0,avalanche,Aave wAVAX/BTC.b,298.0048
0x695a7f28c3628187c8264d2cdf7a617036ba8406,avalanche,upAUSD-savUSD-sdeUSD,133.3747
0x99a9a471dbe0dcc6855b4cd4bbabeccb1280f5e8,avalanche,aWAVAX-aSAVAX-ggAVAX,446.7439
0xa4e1b0ddffc0e3aa63dbca462cf370e4f1dc9b8b,avalanche,Gyro AAVE WAVAX-USDC,994.6661
0xc07f45ee39f3fa2abaeb2b3309543e69129e3c21,avalanche,Euler Re7 savUSD-AUSD-USDC,147.4691
0xfcec3c8d86329defb548202fe1b86ff2188603a8,avalanche,Aave GHO/USDT/USDC,708.6216
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,812.5710
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,6304.0926
0x9972c4f21b5ae6062233031314adbbdda7513ed2,base,Surge Aave wstETH-fWETH,21.2261
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,342.6169
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,167.3121
0xb6a9a815d98cb98fd9f2353ec59de07b63f5b485,base,Surge yUSD-Aave USDC,51.4734
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,448.6932
0xe3a85e913f967406823cde9c390ae7bad9496367,base,ExtraFi-exUSDC-exUSR,155.6081
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,551.7459
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,1292.0353
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,1030.5781
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,200.1664
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,94.6646
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,630.4171
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,1101.9480
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,52.6518
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,4471.5267
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Lido,2511.9384
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,611.3866
0x733f2d3f66d3f41bde65d95321a19a1e55bb5470,mainnet,iUSD-Aave GHO,66.3264
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,7802.5216
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,894.6244
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,2427.8360
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,136.6688
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,40.4728
