pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x7ca75bdea9dede97f8b13c6641b768650cb837820002000000000000000000d5,optimism,ECLP-wstETH-WETH,4005.2370,186.0011,11.6251,16.2751,27.9002,130.2008,0.0000,130.2008,0.0000,0,1762767523,False
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,19.4321,3145.6255,393.2032,550.4845,0.0000,2276.1177,1902.9936,373.1241,74.1799,0,1762349291,False
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,22.2925,859.2348,107.4043,150.3661,0.0000,621.7267,0.0000,621.7267,20.2624,0,1762979255,False
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.1595,132.3686,16.5461,23.1645,0.0000,0.0000,0.0000,0.0000,-92.6580,0,1762990775,False
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.3970,2.5489,0.3186,0.4461,0.0000,0.0000,0.0000,0.0000,-1.7842,0,1762563347,False
0x007bb7a4bfc214df06474e39142288e99540f2b3000200000000000000000191,base,20WETH-80IMO,5.3923,816.2439,102.0305,142.8427,0.0000,571.3707,0.0000,571.3707,0.0000,0,1762972069,False
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.1624,1122.7755,140.3469,196.4857,0.0000,785.9428,0.0000,785.9428,0.0000,0,1762992749,False
